"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ko2lVN0vKGUl9zrU0qSlT","Just the Two of Us (feat. Bill Withers)","spotify:artist:05YVYeV4HxYp5rrWalvuE1, spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Grover Washington\, Jr., Bill Withers","spotify:album:1lKYaRbV0AayVPss9i4oOp","Anthology","spotify:artist:05YVYeV4HxYp5rrWalvuE1","Grover Washington\, Jr.","1985","https://i.scdn.co/image/ab67616d0000b273472fbc1d5743c7d3c75b9ec0","1","6","438493","https://p.scdn.co/mp3-preview/0b8c95f421393a3fca43687498e15ad0b1e1f4d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USEE19901162","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:20:58Z"
"spotify:track:2fvdQ1Uq04qE4RLN5zKBXS","Disco Yes","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:6oPQiSj92N4mk5jXLtX1bl","Tom Misch, Poppy Ajudha","spotify:album:0hDnsNkxpMDZrpBlGjldtW","Geography","spotify:artist:1uiEZYehlNivdK3iQyAbye","Tom Misch","2018-04-06","https://i.scdn.co/image/ab67616d0000b273abe203531eac29d17260966f","1","8","280878","https://p.scdn.co/mp3-preview/3dbeef86565944133d55960810ef00bc8e22efb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBKPL1790990","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:07Z"
"spotify:track:3ZP18us6p6LHOZMG1LLUjF","How Deep Is Your Love","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:4vAhQeeWkSjVn0p5GAaLBx","How Can You Mend A Broken Heart","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","2020-12-11","https://i.scdn.co/image/ab67616d0000b273bdcea025a483b9642f17a9f8","1","18","241093","https://p.scdn.co/mp3-preview/8e12d151daf04babb750f8c6705a0c1815fade9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","NLF057790012","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:14Z"
"spotify:track:10RYjfeUQqkvU5PO2HCgJu","LEMONHEAD","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","spotify:album:3OXhXbACx8kLQKwvUrUFDi","LEMONHEAD","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","2019-08-02","https://i.scdn.co/image/ab67616d0000b2734088d91292fa758ac201a111","1","1","211333","https://p.scdn.co/mp3-preview/7b1760b40df8c4a676d43fa310f2d49433d8e0ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USHM81901936","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:21Z"
"spotify:track:1iFp2OACJ3IrsSSuHi2Sly","Middle Ground","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","spotify:album:2DNRfz3BaPR4rvOkNJBEX1","Highway","spotify:artist:5CXdWANGwYYRPClH6hhC0P","Kid Bloom","2022-06-03","https://i.scdn.co/image/ab67616d0000b273d5c8bd1f0a5a580b2c80bc69","1","4","172666","https://p.scdn.co/mp3-preview/e244d4a9a1276c85bad36b1a02aa66f693829f29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","US43C1624993","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:27Z"
"spotify:track:6PftSaJIUfDKLoxCHpBvqs","Happiness In Liquid Form","spotify:artist:6QzMY3tnu0m56eKUnr4uCF","Alfie Templeman","spotify:album:4ljntV811kHlKHhtIctvcG","Happiness in Liquid Form","spotify:artist:6QzMY3tnu0m56eKUnr4uCF","Alfie Templeman","2020-07-17","https://i.scdn.co/image/ab67616d0000b273cc3916e33f145d99541c4605","1","1","212824","https://p.scdn.co/mp3-preview/fef439e4d61ede9c0289a52e1ebdbac823ad2a8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBKPL2091260","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:36Z"
"spotify:track:1x1XQqhBViz4opcpwc7FVs","Reelin' In The Years","spotify:artist:6P7H3ai06vU1sGvdpBwDmE","Steely Dan","spotify:album:6DlSUW5gmq6Byc3osKDJ2p","Can't Buy A Thrill","spotify:artist:6P7H3ai06vU1sGvdpBwDmE","Steely Dan","1972-11-01","https://i.scdn.co/image/ab67616d0000b2730ddd7e736f870994f4707947","1","6","277467","https://p.scdn.co/mp3-preview/08fcfd47f12bef5b57ec18eb4a9e4b11481392c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USMC17347184","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:50Z"
"spotify:track:7n6biK1HTuLfsNZv7LVFZa","Hummus and Pitta","spotify:artist:5ryYQaYPltS7u7tjByRM3K","Bilk","spotify:album:7G2IyVdw8K2clKwdNvAF7v","Hummus and Pitta","spotify:artist:5ryYQaYPltS7u7tjByRM3K","Bilk","2022-06-17","https://i.scdn.co/image/ab67616d0000b273d68c483a548810fee6e2679b","1","1","137319","https://p.scdn.co/mp3-preview/f03787faccef5e6eb689a7819bcd454dc3c7f36a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","FR96X2296997","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:21:55Z"
"spotify:track:4yugZvBYaoREkJKtbG08Qr","Take It Easy - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:51B7LbLWgYLKBVSpkan8Z7","Eagles (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1972-06-01","https://i.scdn.co/image/ab67616d0000b273c13acd642ba9f6f5f127aa1b","1","1","211577","https://p.scdn.co/mp3-preview/4b32d39b05829f2c442aa869354f0f63cefcef24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USEE11300314","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:01Z"
"spotify:track:2mvEB4KV6L54cfMe9bkzsw","Vowels","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","spotify:album:0i38zdK4NoZLJmKPkzf1WB","Solarize","spotify:artist:4gwpcMTbLWtBUlOijbVpuu","Capital Cities","2018-08-10","https://i.scdn.co/image/ab67616d0000b2735d96fc5f3ab23d93632aa846","1","13","184760","https://p.scdn.co/mp3-preview/a121826cddc5ec6657970d03770e2f01f15a8f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USUG11600807","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:06Z"
